address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
5850 W Las Positas Blvd # CJ5IZ9,Pleasanton,CA,94588,860000,1948.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094902017_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3768 Gettysburg Ct N,Pleasanton,CA,94588,975900,1834.0,4.0,3.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3768-Gettysburg-Ct-N-Pleasanton-CA-94588/25066069_zpid/
6055 Ashley Ct,Pleasanton,CA,94588,868000,1489.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6055-Ashley-Ct-Pleasanton-CA-94588/25067944_zpid/
4649 Denker Dr,Pleasanton,CA,94588,949800,1934.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4649-Denker-Dr-Pleasanton-CA-94588/25068031_zpid/
3719 Fairlands Dr,Pleasanton,CA,94588,950000,1879.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3719-Fairlands-Dr-Pleasanton-CA-94588/25075075_zpid/
4177 Georgis Pl,Pleasanton,CA,94588,770000,1503.0,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/4177-Georgis-Pl-Pleasanton-CA-94588/25073042_zpid/
3721 Ashwood Dr,Pleasanton,CA,94588,1100000,2337.0,3.0,3.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3721-Ashwood-Dr-Pleasanton-CA-94588/25066489_zpid/
Ashwood Dr,Pleasanton,CA,94588,NA,2337.0,4.0,2.5,108,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128808954_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
7980 Foothill Knolls Dr,Pleasanton,CA,94588,2199000,4807.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7980-Foothill-Knolls-Dr-Pleasanton-CA-94588/25070284_zpid/
2846 Red Pine Ct,Pleasanton,CA,94588,998000,2051.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2846-Red-Pine-Ct-Pleasanton-CA-94588/25085475_zpid/
2761 Curry St,Pleasanton,CA,94588,981000,1862.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2761-Curry-St-Pleasanton-CA-94588/61175024_zpid/
4628 Jefferson Ct,Pleasanton,CA,94588,918000,1816.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4628-Jefferson-Ct-Pleasanton-CA-94588/25068902_zpid/
18 Foothill Pl,Pleasanton,CA,94588,1898000,3400.0,4.0,4.0,30,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/18-Foothill-Pl-Pleasanton-CA-94588/25082708_zpid/
7583 Ivy Ct,Pleasanton,CA,94588,617000,1120.0,2.0,2.0,17,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/7583-Ivy-Ct-Pleasanton-CA-94588/25067879_zpid/
Ivy Ct,Pleasanton,CA,94588,NA,1120.0,2.0,1.0,37,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/129583342_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4058 Suffolk Way,Pleasanton,CA,94588,1100000,1941.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4058-Suffolk-Way-Pleasanton-CA-94588/25074350_zpid/
3529 Wind Cave Ct,Pleasanton,CA,94588,899000,1835.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3529-Wind-Cave-Ct-Pleasanton-CA-94588/25066182_zpid/
3585 Yellowstone Ct,Pleasanton,CA,94588,929000,1835.0,4.0,3.0,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3585-Yellowstone-Ct-Pleasanton-CA-94588/25066260_zpid/
3954 Mount Mckinley Ct,Pleasanton,CA,94588,999990,2424.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3954-Mount-Mckinley-Ct-Pleasanton-CA-94588/25066042_zpid/
2726 Solandra Ct,Pleasanton,CA,94588,1017000,2051.0,4.0,3.0,15,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2726-Solandra-Ct-Pleasanton-CA-94588/25085503_zpid/
3330 Harpers Ferry Ct,Pleasanton,CA,94588,959000,1891.0,4.0,2.0,15,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3330-Harpers-Ferry-Ct-Pleasanton-CA-94588/25066338_zpid/
1511 Honey Suckle Ct,Pleasanton,CA,94588,3198000,5846.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1511-Honey-Suckle-Ct-Pleasanton-CA-94588/25082098_zpid/
7825 Olive Ct,Pleasanton,CA,94588,920000,2004.0,4.0,2.0,53,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/7825-Olive-Ct-Pleasanton-CA-94588/25067160_zpid/
2185 Arroyo Ct APT 1,Pleasanton,CA,94588,371000,798.0,2.0,1.0,2766,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2185-Arroyo-Ct-APT-1-Pleasanton-CA-94588/25081499_zpid/
2207 Segundo Ct APT 1,Pleasanton,CA,94588,375000,798.0,2.0,1.0,2595,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2207-Segundo-Ct-APT-1-Pleasanton-CA-94588/25081586_zpid/
7317 Joshua Cir,Pleasanton,CA,94588,899000,1667.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7317-Joshua-Cir-Pleasanton-CA-94588/25066540_zpid/
De Natale Ct,Pleasanton,CA,94588,NA,1929.0,4.0,2.5,297,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/126883869_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Genovesio Dr,Pleasanton,CA,94588,NA,1624.0,3.0,2.5,59,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/126610689_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Huff Ct,Pleasanton,CA,94588,1030000,2913.0,6.0,3.0,183,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125842034_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Old School Rd,Pleasanton,CA,94588,NA,3338.0,NA,NA,33,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/129600128_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Marilyn Ct,Pleasanton,CA,94588,1050000,2150.0,4.0,3.0,486,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124464097_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Clifford Cir,Pleasanton,CA,94588,NA,2326.0,3.0,2.5,54,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128920552_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Knollbrook Dr,Pleasanton,CA,94588,NA,1679.0,3.0,2.0,295,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/126728582_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Snowdrop Cir,Pleasanton,CA,94588,NA,1635.0,3.0,2.5,121,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/127114569_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3362 Prairie Dr,Pleasanton,CA,94588,1775000,3444.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3362-Prairie-Dr-Pleasanton-CA-94588/25070297_zpid/
4108 Foothill Rd,Pleasanton,CA,94588,1200000,NA,NA,NA,108,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4108-Foothill-Rd-Pleasanton-CA-94588/2102160179_zpid/
4140 Foothill Rd,Pleasanton,CA,94588,5695000,8590.0,5.0,8.0,75,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4140-Foothill-Rd-Pleasanton-CA-94588/2138988880_zpid/
5606 Belleza Dr,Pleasanton,CA,94588,749001,1611.0,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/5606-Belleza-Dr-Pleasanton-CA-94588/25072808_zpid/
8335 Regency Dr,Pleasanton,CA,94588,1899950,4106.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8335-Regency-Dr-Pleasanton-CA-94588/25081448_zpid/
5850 W Las Positas Blvd,Pleasanton,CA,94588,965000,2144.0,5.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5850-W-Las-Positas-Blvd-Pleasanton-CA-94588/124735373_zpid/
5574 Old School Rd,Pleasanton,CA,94588,2299999,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5574-Old-School-Rd-Pleasanton-CA-94588/2141726049_zpid/
7191 Johnston,Danville,CA,94588,7500000,6500.0,5.0,7.0,60,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7191-Johnston-Danville-CA-94588/2094901884_zpid/
1957 Clover Ct,Pleasanton,CA,94588,2499000,4386.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1957-Clover-Ct-Pleasanton-CA-94588/25082044_zpid/
1420 Finley Rd,Danville,CA,94588,4950000,7269.0,5.0,6.0,346,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1420-Finley-Rd-Danville-CA-94588/2098307540_zpid/
8525 Lupine Ct,Pleasanton,CA,94588,2395000,4183.0,4.0,5.0,73,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8525-Lupine-Ct-Pleasanton-CA-94588/25082089_zpid/
2129 Cascara Ct,Pleasanton,CA,94588,4188888,8474.0,7.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2129-Cascara-Ct-Pleasanton-CA-94588/25082018_zpid/
5175 Camino Tassajara,Danville,CA,94588,3525000,6164.0,5.0,5.0,80,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5175-Camino-Tassajara-Danville-CA-94588/18435925_zpid/
5824 W Las Positas Blvd,Pleasanton,CA,94588,865000,1954.0,4.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5824-W-Las-Positas-Blvd-Pleasanton-CA-94588/2095629264_zpid/
6351 Johnston Rd,Pleasanton,CA,94588,3500000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/6351-Johnston-Rd-Pleasanton-CA-94588/2127812511_zpid/
3678 Foothill Rd,PLEASANTON,CA,94588,1200000,NA,NA,NA,43,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3678-Foothill-Rd-Pleasanton-CA-94588/108252259_zpid/
5353 Old School Rd,Pleasanton,CA,94588,1699000,3189.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5353-Old-School-Rd-Pleasanton-CA-94588/18435876_zpid/
1512 Honey Suckle Ct,Pleasanton,CA,94588,1400000,NA,NA,NA,274,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/1512-Honey-Suckle-Ct-Pleasanton-CA-94588/111384994_zpid/
17221 Via La Jolla,San Lorenzo,CA,94580,639950,1714.0,4.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/17221-Via-La-Jolla-San-Lorenzo-CA-94580/24957172_zpid/
1830 Via Toyon,San Lorenzo,CA,94580,598000,1394.0,2.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1830-Via-Toyon-San-Lorenzo-CA-94580/24956412_zpid/
17946 Via Valencia,San Lorenzo,CA,94580,529000,1077.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/17946-Via-Valencia-San-Lorenzo-CA-94580/24961676_zpid/
1394 Culver Pl,San Lorenzo,CA,94580,430000,1188.0,2.0,2.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1394-Culver-Pl-San-Lorenzo-CA-94580/24955463_zpid/
225 Via Bellita,San Lorenzo,CA,94580,648000,1781.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/225-Via-Bellita-San-Lorenzo-CA-94580/24962037_zpid/
17289 Via Melina,San Lorenzo,CA,94580,537000,1031.0,3.0,1.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/17289-Via-Melina-San-Lorenzo-CA-94580/24957338_zpid/
625 Empire St,San Lorenzo,CA,94580,588000,1451.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/625-Empire-St-San-Lorenzo-CA-94580/24895776_zpid/
1744 Via Ventana,San Lorenzo,CA,94580,597000,1100.0,3.0,1.5,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1744-Via-Ventana-San-Lorenzo-CA-94580/24955609_zpid/
16073 Paseo Del Campo,San Lorenzo,CA,94580,460000,1000.0,3.0,1.0,906,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/16073-Paseo-Del-Campo-San-Lorenzo-CA-94580/24959084_zpid/
Via Ventana,San Lorenzo,CA,94580,NA,1999.0,4.0,2.5,288,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/126897448_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1655 Via Barrett,San Lorenzo,CA,94580,553000,1471.0,3.0,2.0,1417,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1655-Via-Barrett-San-Lorenzo-CA-94580/24955020_zpid/
Heather Ln,San Lorenzo,CA,94580,NA,1948.0,4.0,3.0,302,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126883890_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Ashland Ave,San Lorenzo,CA,94580,NA,552.0,1.0,1.0,47,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128932177_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Grant Ave,San Lorenzo,CA,94580,522000,1472.0,3.0,2.0,452,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116833663_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Hesperian Blvd,San Lorenzo,CA,94580,NA,1096.0,3.0,1.0,95,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128834520_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
17541 Wickman Pl,San Lorenzo,CA,94580,359000,1170.0,3.0,2.0,86,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/17541-Wickman-Pl-San-Lorenzo-CA-94580/24960937_zpid/
Via Estrella,San Lorenzo,CA,94580,NA,1650.0,3.0,1.0,44,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/129569329_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Via Manzanas,San Lorenzo,CA,94580,NA,1134.0,3.0,1.0,93,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/127013257_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Via Anacapa,San Lorenzo,CA,94580,536000,1812.0,4.0,2.0,256,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124878790_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Wagner St,San Lorenzo,CA,94580,NA,1441.0,3.0,1.0,87,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128849852_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Via Bregani,San Lorenzo,CA,94580,NA,1403.0,3.0,2.0,213,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/127215669_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Via Bolsa,San Lorenzo,CA,94580,NA,1024.0,3.0,1.0,123,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128660366_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Via Pinale,San Lorenzo,CA,94580,NA,1000.0,3.0,1.0,142,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128644118_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Paseo Largavista,San Lorenzo,CA,94580,494000,1307.0,3.0,1.0,316,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125417461_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Via Pinale,San Lorenzo,CA,94580,462000,986.0,3.0,1.0,325,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124817894_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Via Rancho,San Lorenzo,CA,94580,519000,1143.0,3.0,2.0,445,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124878789_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
18500 Via Arriba,San Lorenzo,CA,94580,649000,1712.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/18500-Via-Arriba-San-Lorenzo-CA-94580/24960295_zpid/
17932 Via Arriba,San Lorenzo,CA,94580,589000,1310.0,3.0,2.0,273,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/17932-Via-Arriba-San-Lorenzo-CA-94580/24959874_zpid/
17336 Via Andeta,San Lorenzo,CA,94580,485000,1000.0,3.0,1.0,111,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/17336-Via-Andeta-San-Lorenzo-CA-94580/24959525_zpid/
Page St,SAN LORENZO,CA,94580,NA,NA,NA,NA,3084,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/Page-St-San-Lorenzo-CA-94580/61174355_zpid/
166TH Ave,San Leandro,CA,94580,119999,4248.0,NA,NA,54,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/166TH-Ave-San-Leandro-CA-94580/2094831924_zpid/
2151 167th Ave,San Lorenzo,CA,94580,468000,7405.0,NA,NA,220,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2151-167th-Ave-San-Lorenzo-CA-94580/2096732633_zpid/
2918 Langhorne Dr,San Ramon,CA,94582,1159000,2720.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2918-Langhorne-Dr-San-Ramon-CA-94582/68036710_zpid/
83 Tahoe Ct APT 203,San Ramon,CA,94582,649000,1192.0,3.0,2.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/83-Tahoe-Ct-APT-203-San-Ramon-CA-94582/18455715_zpid/
85 Tahoe Ct APT 101,San Ramon,CA,94582,629000,1309.0,3.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/85-Tahoe-Ct-APT-101-San-Ramon-CA-94582/18455717_zpid/
189 Copper Ridge Rd,San Ramon,CA,94582,599000,1314.0,2.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/189-Copper-Ridge-Rd-San-Ramon-CA-94582/2094205858_zpid/
613 S Blackbrush Ln,San Ramon,CA,94582,838950,1904.0,4.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/613-S-Blackbrush-Ln-San-Ramon-CA-94582/18456374_zpid/
3066 Montbretia Way,San Ramon,CA,94582,1499000,3153.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3066-Montbretia-Way-San-Ramon-CA-94582/122007472_zpid/
3132 Ashbrook Ln,San Ramon,CA,94582,1252000,3173.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3132-Ashbrook-Ln-San-Ramon-CA-94582/67699089_zpid/
6036 Dalton Way,San Ramon,CA,94582,999000,2062.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6036-Dalton-Way-San-Ramon-CA-94582/72555049_zpid/
6139 Alpine Blue Dr # 4SC2AN,San Ramon,CA,94582,949995,2148.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/6139-Alpine-Blue-Dr-4SC2AN-San-Ramon-CA-94582/2096827515_zpid/
2017 Elderberry Dr # 9OVCXB,San Ramon,CA,94582,1396995,3200.0,4.0,5.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2017-Elderberry-Dr-9OVCXB-San-Ramon-CA-94582/2094189539_zpid/
3306 Browntail Way,San Ramon,CA,94582,889900,1770.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3306-Browntail-Way-San-Ramon-CA-94582/72551152_zpid/
6859 Emerson Ln,San Ramon,CA,94582,1330000,3324.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6859-Emerson-Ln-San-Ramon-CA-94582/89036514_zpid/
3532 York Ln,San Ramon,CA,94582,1495000,3810.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3532-York-Ln-San-Ramon-CA-94582/68040468_zpid/
6139 Alpine Blue Dr # 4TZG2T,San Ramon,CA,94582,956995,2119.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/6139-Alpine-Blue-Dr-4TZG2T-San-Ramon-CA-94582/2096827518_zpid/
2025 Elderberry Dr # GBSC2E,San Ramon,CA,94582,1792995,5074.0,5.0,6.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2025-Elderberry-Dr-GBSC2E-San-Ramon-CA-94582/2096118705_zpid/
140 Eastridge Dr,San Ramon,CA,94582,430000,730.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/140-Eastridge-Dr-San-Ramon-CA-94582/18451528_zpid/
2002 Trefoil Rd # 2NV55R,San Ramon,CA,94582,1096995,2384.0,4.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2002-Trefoil-Rd-2NV55R-San-Ramon-CA-94582/2094675524_zpid/
2002 Trefoil Rd # 990E9L,San Ramon,CA,94582,1039995,1983.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2002-Trefoil-Rd-990E9L-San-Ramon-CA-94582/2094255473_zpid/
2002 Trefoil Rd # 339DSN,San Ramon,CA,94582,1039995,2333.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2002-Trefoil-Rd-339DSN-San-Ramon-CA-94582/2095232759_zpid/
2002 Trefoil Rd # 9B7KN5,San Ramon,CA,94582,1096995,2384.0,4.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2002-Trefoil-Rd-9B7KN5-San-Ramon-CA-94582/2097217697_zpid/
2002 Trefoil Rd # 9A3ZGD,San Ramon,CA,94582,1151995,2530.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2002-Trefoil-Rd-9A3ZGD-San-Ramon-CA-94582/2094255470_zpid/
2002 Trefoil Rd # 97D0HF,San Ramon,CA,94582,1116995,2333.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2002-Trefoil-Rd-97D0HF-San-Ramon-CA-94582/2094255471_zpid/
2002 Trefoil Rd # 98GLO7,San Ramon,CA,94582,1096995,2384.0,4.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2002-Trefoil-Rd-98GLO7-San-Ramon-CA-94582/2094255472_zpid/
7296 Briza Loop,San Ramon,CA,94582,710000,1351.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/7296-Briza-Loop-San-Ramon-CA-94582/50918644_zpid/
